GEOID20,City,Congestion_Index,LOS_actual,Ave_Height,B08301_002E,B08301_003E,B08301_004E,B08301_005E,B08301_010E,B08301_018E,B08301_019E,B08301_021E,B15003_001E,B19013_001E,B19301_001E,B23025_003E,B23025_005E,BLOK_Compact,BLOK_Convex,BLOK_Elong,B_Compactness_Mean,B_Compactness_Median,B_Elongation_Mean,B_Elongation_Median,Block_Total_Area,Build_Cov_Ratio,Commercial_Area,Commercial_Pct,Crash_Inde,Elementary_sch,High_school,Industrial_Area,Industrial_Pct,Institutional_Pct,Length,Mixed_Use_Area,Mixed_Use_Pct,N_B_Vertx,Open_Space_Pct,P1_001N,PM25,Residential_Area,Residential_Pct,Total_Parcel_Count,Transportation_Pct,Vacant_Undeveloped_Pct,to_fire,to_hospital,to_police,LOS_actual_numeric
60371204002001.0,Los Angeles,4.0,Medium,6.1897,781.0,645.0,136.0,78.0,17.0,0.0,0.0,69.0,1579.0,78750.0,25820.0,954.0,87.0,0.6894551729143379,0.9125186167502352,1.9379955483645512,0.6004563219256235,0.6285316808169998,1.4177258039818996,1.1822259439016265,28384.75638823597,0.3787725936817686,20692.65758003793,72.9,13.248060325183342,2.0,6.0,0.0,0.0,0.0,237.65,0.0,0.0,12.733333333333333,0.0,67.0,8.962923049926758,7692.098808198038,27.1,18.0,0.0,0.0,2.23529411765,7.875,7.875,2.0
60371173031006.0,Los Angeles,6.0,Poor,3.2886,883.0,793.0,90.0,71.0,0.0,10.0,0.0,94.0,1838.0,145286.0,43847.0,1108.0,51.0,0.4430598619867275,0.7700324389021378,1.9537730086668263,0.6622279863187687,0.6896609904551414,1.1878463977992002,1.1267676151820236,34633.17862155481,0.3240693939789381,0.0,0.0,12.598010274105874,3.0,6.0,0.0,0.0,0.0,323.11,0.0,0.0,9.35,0.0,158.0,8.765568733215332,34633.17862155481,100.0,47.0,0.0,0.0,2.0,8.0,8.0,3.0
60371237003001.0,Los Angeles,3.0,Medium,4.0191,313.0,282.0,31.0,31.0,0.0,0.0,0.0,132.0,713.0,54453.0,36497.0,502.0,45.0,0.564996741977297,0.9864443571913344,2.300035628823515,0.6968325491879291,0.7299692123981831,1.3840058675563145,1.116722958809053,22508.96129423069,0.3620377060925249,0.0,0.0,19.463486796290077,2.0,6.0,0.0,0.0,0.0,98.64,0.0,0.0,9.164179104477611,0.0,105.0,9.248160362243652,22508.96129423069,100.0,32.0,0.0,0.0,2.0,4.0,4.0,2.0
60371834012000.0,Los Angeles,2.0,Good,5.5151,405.0,362.0,43.0,0.0,20.0,0.0,0.0,76.0,729.0,94868.0,40184.0,585.0,32.0,0.6897153998630425,1.0000000000000002,1.7932554873503934,0.6732890800363739,0.6985727219820117,1.424037321324428,1.2987054289214734,14494.385024939014,0.4141066561744974,0.0,0.0,7.601007300681621,3.0,6.0,0.0,0.0,0.0,95.96,0.0,0.0,10.17910447761194,0.0,114.0,10.101752281188965,14494.385024939014,100.0,30.0,0.0,0.0,2.0,7.75,7.75,1.0
60372031001008.0,Los Angeles,3.0,Medium,6.0488,321.0,259.0,62.0,22.0,61.0,0.0,29.0,33.0,565.0,64444.0,20394.0,586.0,63.0,0.7154686672280894,1.0,1.6055158191647203,0.6401689845769015,0.6626243764277076,1.540764666071414,1.4290594936336525,16720.102623632105,0.3507877944170333,0.0,0.0,12.926780315563526,3.0,6.0,0.0,0.0,0.0,113.85,0.0,0.0,9.93103448275862,0.0,191.0,10.774503707885742,16720.102623632105,100.0,26.0,0.0,0.0,2.0,6.0,6.0,2.0
60371999001013.0,Los Angeles,6.0,Poor,3.0256,372.0,337.0,35.0,24.0,132.0,0.0,38.0,52.0,998.0,42353.0,35385.0,718.0,81.0,0.7530167109688077,0.9814361648142008,1.1552888858329895,0.6083838325991158,0.6083838325991158,1.6854770169295714,1.6854770169295714,3698.910299054326,0.1126124827134261,0.0,0.0,22.870513349359797,3.0,6.0,3698.910299054326,100.0,0.0,47.34,0.0,0.0,9.0,0.0,0.0,10.875513076782228,0.0,0.0,2.0,0.0,0.0,2.0,4.0,4.0,3.0
60371344212003.0,Los Angeles,2.0,Good,2.2444,511.0,389.0,122.0,0.0,0.0,0.0,0.0,269.0,1071.0,122440.0,57742.0,835.0,46.0,0.6924673534621373,0.8736649610131014,1.217253645008107,0.6096740847343993,0.5807656761849744,1.519554811889778,1.2502420070434563,50312.33787155353,0.2439763415346961,0.0,0.0,1.3420361447807765,2.0,8.76388931274414,0.0,0.0,63.02,97.24,0.0,0.0,11.975,0.0,50.0,7.58567476272583,18607.95798074126,36.98,17.0,0.0,0.0,3.18181818182,7.04347826087,7.04347826087,1.0
60372411202003.0,Los Angeles,4.0,Medium,2.358,153.0,113.0,40.0,40.0,129.0,0.0,0.0,0.0,412.0,62333.0,15858.0,338.0,25.0,0.7848571730272513,1.0,1.0153479166677817,0.6012934393782393,0.5574026556120399,2.3473227720523497,1.76205289846976,5834.071925199574,0.4308593078419206,3513.3631076650663,60.22,47.95168992719902,4.0,6.0,0.0,0.0,0.0,100.68,0.0,0.0,9.421052631578949,0.0,138.0,11.093295097351074,2320.708817534508,39.78,10.0,0.0,0.0,0.0,0.0,0.0,2.0
60371081023005.0,Los Angeles,2.0,Good,3.7876,384.0,313.0,71.0,28.0,0.0,0.0,19.0,111.0,1064.0,131662.0,69625.0,542.0,28.0,0.6630894334752261,0.9104089891636152,1.9592858856803923,0.6385954831060777,0.6514388979143313,1.1703447938561715,1.1259533868873317,57467.435483732064,0.2372346796106155,0.0,0.0,3.993685421781858,6.0,8.94252872467041,0.0,0.0,0.0,198.52,0.0,0.0,14.773584905660377,0.0,176.0,8.13864803314209,57467.435483732064,100.0,53.0,0.0,0.0,1.7037037037,6.0,6.0,1.0
60371172021001.0,Los Angeles,2.0,Good,2.4755,489.0,453.0,36.0,21.0,0.0,0.0,0.0,34.0,1426.0,89250.0,40144.0,796.0,207.0,0.3669756879186505,0.6288123380296724,1.483708478161245,0.6557161472202959,0.6567326351309835,1.231035187304801,1.1787535498159385,50870.07556857025,0.3929365682692644,0.0,0.0,10.948886898879634,2.0,6.0,0.0,0.0,0.0,94.75,0.0,0.0,11.081632653061224,0.0,217.0,8.751862525939941,50870.07556857025,100.0,69.0,0.0,0.0,2.61538461538,6.0,6.0,1.0
